Iterative Workload,Reinforcement Learning
broadcast_24,1,1430866217853
broadcast_24_piece0,0,1430866217605
broadcast_24_piece0,1,1430866217605
broadcast_25,0,1430866217608
broadcast_25,1,1430866217608
broadcast_25,1,1430866217664
broadcast_25_piece0,0,1430866217610
broadcast_25_piece0,1,1430866217610
broadcast_26,0,1430866217615
broadcast_26,1,1430866217615
broadcast_26,1,1430866217664
broadcast_26_piece0,0,1430866217616
broadcast_26_piece0,1,1430866217617
broadcast_27,0,1430866217620
broadcast_27,1,1430866217620
broadcast_27,1,1430866217665
broadcast_27_piece0,0,1430866217621
broadcast_27_piece0,1,1430866217622
broadcast_28,0,1430866217625
broadcast_28,1,1430866217625
broadcast_28,1,1430866217666
broadcast_28_piece0,0,1430866217626
broadcast_28_piece0,1,1430866217627
broadcast_29,0,1430866217630
broadcast_29,1,1430866217630
broadcast_29,1,1430866217667
broadcast_29_piece0,0,1430866217632
broadcast_29_piece0,1,1430866217632
broadcast_30,0,1430866217635
broadcast_30,1,1430866217636
broadcast_30,1,1430866217668
broadcast_30_piece0,0,1430866217637
broadcast_30_piece0,1,1430866217637
broadcast_31,0,1430866217641
broadcast_31,1,1430866217641
broadcast_31,1,1430866217669
broadcast_31_piece0,0,1430866217643
broadcast_31_piece0,1,1430866217643
broadcast_32,0,1430866217646
broadcast_32,1,1430866217647
broadcast_32,1,1430866217670
broadcast_32_piece0,0,1430866217648
broadcast_32_piece0,1,1430866217649
broadcast_33,0,1430866217652
broadcast_33,1,1430866217652
broadcast_33,1,1430866217671
broadcast_33_piece0,0,1430866217654
broadcast_33_piece0,1,1430866217655
broadcast_34,0,1430866217658
broadcast_34,1,1430866217658
broadcast_34,1,1430866217672
broadcast_34_piece0,0,1430866217659
broadcast_34_piece0,1,1430866217660
broadcast_35,0,1430866217696
broadcast_35,1,1430866217696
broadcast_35,1,1430866217723
broadcast_35,1,1430866217852
broadcast_35,1,1430866218008
broadcast_35_piece0,0,1430866217698
broadcast_35_piece0,1,1430866217698
broadcast_24,1,1430866218012
broadcast_24,1,1430866218193
broadcast_24,1,1430866218349
broadcast_24,1,1430866218511
broadcast_24,1,1430866218683
broadcast_24,1,1430866218841
broadcast_24,1,1430866218993
broadcast_35,1,1430866218192
broadcast_35,1,1430866218347
broadcast_35,1,1430866218509
broadcast_35,1,1430866218682
broadcast_35,1,1430866218840
broadcast_35,1,1430866218992
broadcast_35,1,1430866219153
broadcast_35,1,1430866219286
broadcast_35,1,1430866219414
broadcast_35,1,1430866219471
broadcast_35,1,1430866219626
broadcast_35,1,1430866219785
broadcast_35,1,1430866219940
broadcast_24,1,1430866219154
broadcast_24,1,1430866219287
broadcast_24,1,1430866219415
broadcast_25,1,1430866219472
broadcast_25,1,1430866219627
broadcast_25,1,1430866219785
broadcast_25,1,1430866219941
broadcast_35,1,1430866220092
broadcast_35,1,1430866220216
broadcast_35,1,1430866220346
broadcast_35,1,1430866220489
broadcast_35,1,1430866220617
broadcast_35,1,1430866220741
broadcast_35,1,1430866220873
broadcast_25,1,1430866220093
broadcast_25,1,1430866220217
broadcast_25,1,1430866220348
broadcast_25,1,1430866220490
broadcast_25,1,1430866220618
broadcast_25,1,1430866220742
broadcast_25,1,1430866220874
broadcast_35,1,1430866221026
broadcast_35,1,1430866221093
broadcast_35,1,1430866221254
broadcast_35,1,1430866221439
broadcast_35,1,1430866221625
broadcast_35,1,1430866221776
broadcast_35,1,1430866221926
broadcast_25,1,1430866221027
broadcast_26,1,1430866221094
broadcast_26,1,1430866221256
broadcast_26,1,1430866221440
broadcast_26,1,1430866221626
broadcast_26,1,1430866221777
broadcast_26,1,1430866221927
broadcast_35,1,1430866222086
broadcast_35,1,1430866222243
broadcast_35,1,1430866222421
broadcast_35,1,1430866222602
broadcast_35,1,1430866222744
broadcast_35,1,1430866222866
broadcast_35,1,1430866222924
broadcast_26,1,1430866222087
broadcast_26,1,1430866222244
broadcast_26,1,1430866222423
broadcast_26,1,1430866222604
broadcast_26,1,1430866222745
broadcast_26,1,1430866222867
broadcast_27,1,1430866222925
broadcast_35,1,1430866223050
broadcast_35,1,1430866223183
broadcast_35,1,1430866223339
broadcast_35,1,1430866223487
broadcast_35,1,1430866223646
broadcast_35,1,1430866223781
broadcast_35,1,1430866223912
broadcast_35,1,1430866224032
broadcast_27,1,1430866223051
broadcast_27,1,1430866223184
broadcast_27,1,1430866223340
broadcast_27,1,1430866223488
broadcast_27,1,1430866223647
broadcast_27,1,1430866223783
broadcast_27,1,1430866223913
broadcast_27,1,1430866224033
broadcast_35,1,1430866224158
broadcast_35,1,1430866224283
broadcast_35,1,1430866224450
broadcast_35,1,1430866224541
broadcast_35,1,1430866224778
broadcast_35,1,1430866225017
broadcast_27,1,1430866224159
broadcast_27,1,1430866224284
broadcast_27,1,1430866224451
broadcast_28,1,1430866224546
broadcast_28,1,1430866224779
broadcast_28,1,1430866225020
broadcast_35,1,1430866225252
broadcast_35,1,1430866225486
broadcast_35,1,1430866225731
broadcast_35,1,1430866225967
broadcast_28,1,1430866225253
broadcast_28,1,1430866225488
broadcast_28,1,1430866225736
broadcast_28,1,1430866225969
broadcast_35,1,1430866226117
broadcast_35,1,1430866226251
broadcast_35,1,1430866226378
broadcast_35,1,1430866226509
broadcast_35,1,1430866226637
broadcast_35,1,1430866226699
broadcast_35,1,1430866226850
broadcast_35,1,1430866227005
broadcast_28,1,1430866226119
broadcast_28,1,1430866226252
broadcast_28,1,1430866226379
broadcast_28,1,1430866226510
broadcast_28,1,1430866226638
broadcast_29,1,1430866226700
broadcast_29,1,1430866226851
broadcast_29,1,1430866227006
broadcast_35,1,1430866227139
broadcast_35,1,1430866227265
broadcast_35,1,1430866227392
broadcast_35,1,1430866227517
broadcast_35,1,1430866227643
broadcast_35,1,1430866227801
broadcast_35,1,1430866227998
broadcast_29,1,1430866227139
broadcast_29,1,1430866227266
broadcast_29,1,1430866227393
broadcast_29,1,1430866227518
broadcast_29,1,1430866227644
broadcast_29,1,1430866227804
broadcast_29,1,1430866228002
broadcast_35,1,1430866228195
broadcast_35,1,1430866228416
broadcast_35,1,1430866228524
broadcast_35,1,1430866228734
broadcast_35,1,1430866228939
broadcast_29,1,1430866228196
broadcast_29,1,1430866228420
broadcast_30,1,1430866228527
broadcast_30,1,1430866228736
broadcast_30,1,1430866228940
broadcast_35,1,1430866229154
broadcast_35,1,1430866229360
broadcast_35,1,1430866229597
broadcast_35,1,1430866229827
broadcast_30,1,1430866229157
broadcast_30,1,1430866229361
broadcast_30,1,1430866229599
broadcast_30,1,1430866229828
broadcast_35,1,1430866230070
broadcast_35,1,1430866230310
broadcast_35,1,1430866230533
broadcast_35,1,1430866230680
broadcast_35,1,1430866230831
broadcast_35,1,1430866230894
broadcast_35,1,1430866231020
broadcast_30,1,1430866230073
broadcast_30,1,1430866230311
broadcast_30,1,1430866230534
broadcast_30,1,1430866230681
broadcast_30,1,1430866230832
